"id","index","measurement_time","measured_value"
41858,21,"2021-12-01 10:15:00+01",33
41859,21,"2021-12-01 10:30:00+01",32
41860,21,"2021-12-01 10:45:00+01",39
41861,21,"2021-12-01 11:00:00+01",29
41862,21,"2021-12-01 11:15:00+01",30
41863,21,"2021-12-01 11:30:00+01",20
41864,21,"2021-12-01 11:45:00+01",26
41865,21,"2021-12-01 12:00:00+01",20
41866,21,"2021-12-01 12:15:00+01",19
41867,21,"2021-12-01 12:30:00+01",20
41868,21,"2021-12-01 12:45:00+01",20
41869,21,"2021-12-01 13:00:00+01",22
41870,21,"2021-12-01 13:15:00+01",30
41871,21,"2021-12-01 13:30:00+01",17
41872,21,"2021-12-01 13:45:00+01",26
41873,21,"2021-12-01 14:00:00+01",28
41874,21,"2021-12-01 14:15:00+01",29
41875,21,"2021-12-01 14:30:00+01",30
41876,21,"2021-12-01 14:45:00+01",32
41877,21,"2021-12-01 15:00:00+01",25
41878,21,"2021-12-01 15:15:00+01",35
41879,21,"2021-12-01 15:30:00+01",13
41880,21,"2021-12-01 15:45:00+01",31
41881,21,"2021-12-01 16:00:00+01",23
41882,21,"2021-12-01 16:15:00+01",28
41883,21,"2021-12-01 16:30:00+01",16
41884,21,"2021-12-01 16:45:00+01",18
41885,21,"2021-12-01 17:00:00+01",15
41886,21,"2021-12-01 17:15:00+01",18
41887,21,"2021-12-01 17:30:00+01",13
41888,21,"2021-12-01 17:45:00+01",10
41889,21,"2021-12-01 18:00:00+01",10
41890,21,"2021-12-01 18:15:00+01",12
41891,21,"2021-12-01 18:30:00+01",10
41892,21,"2021-12-01 18:45:00+01",10
41893,21,"2021-12-01 19:00:00+01",12
41894,21,"2021-12-01 19:15:00+01",9
41895,21,"2021-12-01 19:30:00+01",6
41896,21,"2021-12-01 19:45:00+01",6
41897,21,"2021-12-01 20:00:00+01",8
41898,21,"2021-12-01 20:15:00+01",6
41899,21,"2021-12-01 20:30:00+01",7
41900,21,"2021-12-01 20:45:00+01",5
41901,21,"2021-12-01 21:00:00+01",5
41902,21,"2021-12-01 21:15:00+01",4
41903,21,"2021-12-01 21:30:00+01",6
41904,21,"2021-12-01 21:45:00+01",2
41905,21,"2021-12-01 22:00:00+01",2
41906,21,"2021-12-01 22:15:00+01",3
41907,21,"2021-12-01 22:30:00+01",3
41908,21,"2021-12-01 22:45:00+01",1
41909,21,"2021-12-01 23:00:00+01",3
41910,21,"2021-12-01 23:15:00+01",2
41911,21,"2021-12-01 23:30:00+01",2
41912,21,"2021-12-01 23:45:00+01",0
41913,21,"2021-12-02 00:00:00+01",2
41914,21,"2021-12-02 00:15:00+01",3
41915,21,"2021-12-02 00:30:00+01",0
41916,21,"2021-12-02 00:45:00+01",5
41917,1,"2021-12-01 01:00:00+01",0
41918,1,"2021-12-01 01:15:00+01",0
41919,1,"2021-12-01 01:30:00+01",0
41920,1,"2021-12-01 01:45:00+01",0
41921,1,"2021-12-01 02:00:00+01",0
41922,1,"2021-12-01 02:15:00+01",0
41923,1,"2021-12-01 02:30:00+01",0
41924,1,"2021-12-01 02:45:00+01",0
41925,1,"2021-12-01 03:00:00+01",0
41926,1,"2021-12-01 03:15:00+01",0
41927,1,"2021-12-01 03:30:00+01",0
41928,1,"2021-12-01 03:45:00+01",0
41929,1,"2021-12-01 04:00:00+01",0
41930,1,"2021-12-01 04:15:00+01",0
41931,1,"2021-12-01 04:30:00+01",0
41932,1,"2021-12-01 04:45:00+01",0
41933,1,"2021-12-01 05:00:00+01",0
41934,1,"2021-12-01 05:15:00+01",0
41935,1,"2021-12-01 05:30:00+01",0
41936,1,"2021-12-01 05:45:00+01",0
41937,1,"2021-12-01 06:00:00+01",0
41938,1,"2021-12-01 06:15:00+01",0
41939,1,"2021-12-01 06:30:00+01",0
41940,1,"2021-12-01 06:45:00+01",0
41941,1,"2021-12-01 07:00:00+01",0
41942,1,"2021-12-01 07:15:00+01",0
41943,1,"2021-12-01 07:30:00+01",0
41944,1,"2021-12-01 07:45:00+01",0
41945,1,"2021-12-01 08:00:00+01",0
41946,1,"2021-12-01 08:15:00+01",0
41947,1,"2021-12-01 08:30:00+01",0
41948,1,"2021-12-01 08:45:00+01",0
41949,1,"2021-12-01 09:00:00+01",0
41950,1,"2021-12-01 09:15:00+01",0
41951,1,"2021-12-01 09:30:00+01",0
41952,1,"2021-12-01 09:45:00+01",0
41953,1,"2021-12-01 10:00:00+01",0
41954,1,"2021-12-01 10:15:00+01",0
41955,1,"2021-12-01 10:30:00+01",0
41956,1,"2021-12-01 10:45:00+01",0
41957,1,"2021-12-01 11:00:00+01",0
41958,1,"2021-12-01 11:15:00+01",0
41959,1,"2021-12-01 11:30:00+01",0
41960,1,"2021-12-01 11:45:00+01",0
41961,1,"2021-12-01 12:00:00+01",0
41962,1,"2021-12-01 12:15:00+01",0
41963,1,"2021-12-01 12:30:00+01",0
41964,1,"2021-12-01 12:45:00+01",0
41965,1,"2021-12-01 13:00:00+01",0
41966,1,"2021-12-01 13:15:00+01",0
41967,1,"2021-12-01 13:30:00+01",0
41968,1,"2021-12-01 13:45:00+01",0
41969,1,"2021-12-01 14:00:00+01",0
41970,1,"2021-12-01 14:15:00+01",0
41971,1,"2021-12-01 14:30:00+01",0
41972,1,"2021-12-01 14:45:00+01",0
41973,1,"2021-12-01 15:00:00+01",0
41974,1,"2021-12-01 15:15:00+01",0
41975,1,"2021-12-01 15:30:00+01",0
41976,1,"2021-12-01 15:45:00+01",0
41977,1,"2021-12-01 16:00:00+01",0
41978,1,"2021-12-01 16:15:00+01",0
41979,1,"2021-12-01 16:30:00+01",0
41980,1,"2021-12-01 16:45:00+01",0
41981,1,"2021-12-01 17:00:00+01",0
41982,1,"2021-12-01 17:15:00+01",0
41983,1,"2021-12-01 17:30:00+01",0
41984,1,"2021-12-01 17:45:00+01",0
41985,1,"2021-12-01 18:00:00+01",0
41986,1,"2021-12-01 18:15:00+01",0
41987,1,"2021-12-01 18:30:00+01",0
41988,1,"2021-12-01 18:45:00+01",0
41989,1,"2021-12-01 19:00:00+01",0
41990,1,"2021-12-01 19:15:00+01",0
41991,1,"2021-12-01 19:30:00+01",0
41992,1,"2021-12-01 19:45:00+01",0
41993,1,"2021-12-01 20:00:00+01",0
41994,1,"2021-12-01 20:15:00+01",0
41995,1,"2021-12-01 20:30:00+01",0
41996,1,"2021-12-01 20:45:00+01",0
41997,1,"2021-12-01 21:00:00+01",0
41998,1,"2021-12-01 21:15:00+01",0
41999,1,"2021-12-01 21:30:00+01",0
42000,1,"2021-12-01 21:45:00+01",0
